City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,invercargill,-46.4,168.35,288.16,73,0,4.02,NZ,1731480347
83,albany,42.6001,-73.9662,273.38,66,2,1.63,US,1731480243
84,enewetak,11.3474,162.3373,301.82,80,17,6.26,MH,1731480349
85,mount isa,-20.7333,139.5,314.02,15,100,3.09,AU,1731480350
86,carnarvon,-24.8667,113.6333,298.73,58,100,7.09,AU,1731480351
87,ribeira grande,38.5167,-28.7,290.25,90,82,1.79,PT,1731480352
88,punta arenas,-53.15,-70.9167,283.21,66,75,11.32,CL,1731480353
89,codo,-4.4553,-43.8856,295.51,85,99,1.61,BR,1731480354
90,polyarnyy,69.1989,33.4478,275.84,84,100,7.58,RU,1731480356
91,verkhniy baskunchak,48.2256,46.7217,275.44,59,23,1.59,RU,1731480357
92,inongo,-1.95,18.2667,297.38,81,10,1.24,CD,1731480358
93,jamestown,42.097,-79.2353,271.95,95,0,0.45,US,1731480079
94,haiku-pauwela,20.9219,-156.3051,296.62,77,40,7.15,US,1731480360
95,lata,40.1629,-8.3327,278.84,67,0,3.42,PT,1731480361
96,machico,32.7,-16.7667,293.5,75,40,4.12,PT,1731480362
97,papatowai,-46.5619,169.4708,286.22,83,48,1.82,NZ,1731480363
98,watertown,42.3709,-71.1828,275.16,56,0,3.6,US,1731480365
99,dombarovskiy,50.7587,59.5386,270.34,92,99,7.69,RU,1731480367
100,sierra grande,-41.606,-65.3557,287.56,43,8,6.02,AR,1731480368
101,weihai,37.5017,122.1136,288.95,52,100,3.37,CN,1731480369
102,inhambane,-23.865,35.3833,302.51,60,6,2.22,MZ,1731480370
103,sitka,57.0531,-135.33,277.09,87,20,2.06,US,1731480371
104,kirkwall,58.9848,-2.9587,283.69,93,75,6.69,GB,1731480372
105,pakokku,21.3333,95.1,303.19,55,6,3.67,MM,1731480373
106,isangel,-19.55,169.2667,302.21,74,20,2.57,VU,1731480374
107,colonia,50.9333,6.95,279.28,88,20,3.09,DE,1731480375
108,kavadarci,41.4331,22.0119,279.6,83,100,0.47,MK,1731480377
109,fort mcmurray,56.7268,-111.381,267.92,79,100,5.14,CA,1731480378
110,willard,41.0531,-82.7263,274.48,66,20,3.04,US,1731480270
111,tura,25.5198,90.2201,300.72,48,0,1.21,IN,1731480380
112,gaspe,48.8334,-64.4819,271.27,64,75,6.69,CA,1731480381
113,ilulissat,69.2167,-51.1,271.16,54,100,12.35,GL,1731480383
114,horqueta,-23.3428,-57.0597,284.8,84,0,2.0,PY,1731480384
115,la ronge,55.1001,-105.2842,274.29,69,0,3.09,CA,1731480386
116,dudinka,69.4058,86.1778,243.49,99,92,1.35,RU,1731480387
117,fortuna,40.5982,-124.1573,286.47,70,100,7.2,US,1731480388
118,nadiad,22.7,72.8667,305.38,27,0,2.44,IN,1731480331
119,aasiaat,68.7098,-52.8699,268.49,74,100,8.52,GL,1731480391
120,codrington,-38.2667,141.9667,288.11,62,5,6.76,AU,1731480392
121,port elizabeth,-33.918,25.5701,291.66,96,100,5.66,ZA,1731480353
122,georgetown,5.4112,100.3354,303.12,67,20,4.63,MY,1731480245
123,dalai,45.5,124.3,283.93,34,7,5.52,CN,1731480395
124,necochea,-38.5473,-58.7368,282.91,70,100,3.54,AR,1731480332
125,alta,69.9689,23.2717,279.74,87,75,2.57,NO,1731480399
126,singaraja,-8.112,115.0882,303.26,73,70,1.97,ID,1731480400
127,hadibu,12.65,54.0333,300.06,66,10,5.09,YE,1731480401
128,kerch,45.3583,36.4758,280.54,81,77,5.56,UA,1731480402
129,johnstown,40.3267,-78.922,273.88,80,0,3.09,US,1731480403
130,afaahiti,-17.75,-149.2833,297.29,75,100,7.73,PF,1731480404
131,afonso bezerra,-5.4983,-36.5056,296.98,84,15,5.15,BR,1731480405
132,cannonvale,-20.2833,148.7,300.81,69,81,4.43,AU,1731480406
133,sawakin,19.1059,37.3321,302.17,66,47,6.0,SD,1731480408
134,mananjary,-21.2167,48.3333,302.48,56,0,4.16,MG,1731480409
135,vilyuchinsk,52.9306,158.4028,270.3,78,3,4.2,RU,1731480410
136,raduzhny,62.0961,77.475,253.44,91,100,2.08,RU,1731480411
137,guane,22.2025,-84.0875,296.85,96,11,2.12,CU,1731480412
138,yuanping,38.7153,112.7575,282.47,88,100,0.14,CN,1731480413
139,iskateley,67.6803,53.1512,266.39,94,100,4.89,RU,1731480414
140,neryungri,56.6709,124.6491,260.75,92,45,3.08,RU,1731480415
141,balpyk bi,44.8947,78.2083,276.23,97,100,2.0,KZ,1731480416
142,weno,7.4515,151.8468,299.12,89,100,1.54,FM,1731480417
143,tazovsky,67.4667,78.7,248.68,97,100,3.89,RU,1731480419
144,dunedin,-45.8742,170.5036,286.37,96,43,4.02,NZ,1731480256
145,happy valley-goose bay,53.3168,-60.3315,265.32,67,20,6.69,CA,1731480421
146,murzuq,25.9155,13.9184,290.79,27,70,3.74,LY,1731480422
147,port alfred,-33.5906,26.891,292.14,78,46,4.47,ZA,1731480423
148,cuprija,43.9275,21.37,277.82,84,100,0.48,RS,1731480424
149,kupang,-10.1667,123.5833,309.47,44,20,7.72,ID,1731480230
150,alva,56.1528,-3.8051,276.44,93,100,2.31,GB,1731480426
151,tingo maria,-9.2895,-76.0088,293.32,99,100,0.51,PE,1731480427
152,vadso,70.0744,29.7487,277.24,81,75,6.69,NO,1731480428
153,nadi,-17.8,177.4167,301.15,78,40,1.54,FJ,1731480430
154,minas de marcona,-15.2119,-75.1103,286.06,86,69,1.83,PE,1731480431
155,tolanaro,-25.0319,46.9987,301.19,78,75,3.6,MG,1731480432
156,kas,36.2018,29.6377,294.82,37,8,1.93,TR,1731480160
157,taroa,8.7058,171.2275,301.68,79,86,7.23,MH,1731480434
158,tobol'sk,58.2,68.2667,261.13,87,100,4.33,RU,1731480435
159,tateyama,34.9833,139.8667,290.87,67,25,7.19,JP,1731480436
160,oranjemund,-28.55,16.4333,290.42,64,6,6.42,NA,1731480437
161,bilibino,68.0546,166.4372,245.82,100,67,0.57,RU,1731480438
162,qamdo,31.1667,97.2333,280.19,15,4,4.31,CN,1731480439
163,st. john's,47.5649,-52.7093,286.01,99,100,6.17,CA,1731480232
164,rongelap,11.1635,166.8941,301.52,72,4,7.18,MH,1731480442
165,tiquipaya,-17.3382,-66.2189,289.55,63,75,4.12,BO,1731480443
166,atafu village,-8.5421,-172.5159,301.62,76,0,6.36,TK,1731480444
167,panacan,9.2463,118.4082,302.01,72,70,1.31,PH,1731480445
168,margate,51.3813,1.3862,283.64,80,100,4.48,GB,1731480446
169,boaz,34.2006,-86.1664,286.3,68,0,3.6,US,1731480447
170,utrik,11.2278,169.8474,301.61,71,1,7.07,MH,1731480448
171,chimore,-16.9833,-65.1333,292.42,72,100,0.32,BO,1731480449
172,onega,63.9061,38.1404,274.75,86,100,4.99,RU,1731480451
173,merizo village,13.2658,144.6691,302.46,85,100,11.88,GU,1731480452
174,novobureyskiy,49.798,129.8774,271.3,59,100,3.79,RU,1731480453
175,sisimiut,66.9395,-53.6735,270.26,78,100,6.57,GL,1731480281
176,dryden,49.7833,-92.7503,275.31,75,20,6.69,CA,1731480455
177,tenenkou,14.4572,-4.9169,296.83,21,4,3.68,ML,1731480456
178,bozdar wada,27.1828,68.636,305.71,22,0,1.49,PK,1731480457
179,butembo,0.15,29.2833,295.65,53,96,1.01,CD,1731480458
180,narvik,68.4384,17.4272,280.52,87,98,10.12,NO,1731480291
181,altai,46.3722,96.2583,271.29,58,24,11.24,MN,1731480460
182,westport,41.1415,-73.3579,277.02,56,0,6.69,US,1731480454
183,nova sintra,14.8667,-24.7167,299.3,66,7,3.35,CV,1731480463
184,hithadhoo,-0.6,73.0833,301.38,74,99,6.7,MV,1731480464
